25-07-24 15:53:28.591 [restartedMain] INFO  c.p.journalApp.JournalApplication - Starting JournalApplication using Java 23.0.2 with PID 15712 (C:\Users\iamsh\OneDrive\AppData\Desktop\Home\journalApp\journalApp\target\classes started by iamsh in C:\Users\iamsh\OneDrive\AppData\Desktop\Home\journalApp)
25-07-24 15:53:28.597 [restartedMain] INFO  c.p.journalApp.JournalApplication - The following 1 profile is active: "dev"
25-07-24 15:53:28.691 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-07-24 15:53:28.692 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-07-24 15:53:29.327 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-07-24 15:53:29.405 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 2 MongoDB repository interfaces.
25-07-24 15:53:29.931 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
25-07-24 15:53:29.943 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
25-07-24 15:53:29.944 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
25-07-24 15:53:29.944 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
25-07-24 15:53:29.993 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
25-07-24 15:53:29.993 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1300 ms
25-07-24 15:53:30.227 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/23.0.2+7-58"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='admin', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@a495676, com.mongodb.Jep395RecordCodecProvider@6063f0a3, com.mongodb.KotlinCodecProvider@7c2b17f7]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.lu8v511.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-wlr7qj-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
25-07-24 15:53:30.248 [cluster-ClusterId{value='688209a24a867f03d490a3a6', description='Cluster0'}-srv-cluster0.lu8v511.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017 to client view of cluster
25-07-24 15:53:30.279 [cluster-ClusterId{value='688209a24a867f03d490a3a6', description='Cluster0'}-srv-cluster0.lu8v511.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017 to client view of cluster
25-07-24 15:53:30.281 [cluster-ClusterId{value='688209a24a867f03d490a3a6', description='Cluster0'}-srv-cluster0.lu8v511.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017 to client view of cluster
25-07-24 15:53:30.424 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
25-07-24 15:53:30.525 [restartedMain] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
25-07-24 15:53:31.007 [cluster-ClusterId{value='688209a24a867f03d490a3a6', description='Cluster0'}-ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=343999400, setName='atlas-wlr7qj-shard-0', canonicalAddress=ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017, hosts=[ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017, ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017, ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017], passives=[], arbiters=[], primary='ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68794b4e7b51c3632ffdf393, counter=4}, lastWriteDate=Thu Jul 24 15:53:41 IST 2025, lastUpdateTimeNanos=14507727599300}
25-07-24 15:53:31.007 [cluster-ClusterId{value='688209a24a867f03d490a3a6', description='Cluster0'}-ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=343978300, setName='atlas-wlr7qj-shard-0', canonicalAddress=ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017, hosts=[ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017, ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017, ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017], passives=[], arbiters=[], primary='ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=22, topologyVersion=TopologyVersion{processId=68795067688af7a06a572089, counter=3}, lastWriteDate=Thu Jul 24 15:53:41 IST 2025, lastUpdateTimeNanos=14507727597700}
25-07-24 15:53:31.011 [cluster-ClusterId{value='688209a24a867f03d490a3a6', description='Cluster0'}-ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=349797100, setName='atlas-wlr7qj-shard-0', canonicalAddress=ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017, hosts=[ac-67pnxoi-shard-00-00.lu8v511.mongodb.net:27017, ac-67pnxoi-shard-00-02.lu8v511.mongodb.net:27017, ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017], passives=[], arbiters=[], primary='ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000033, setVersion=22, topologyVersion=TopologyVersion{processId=68794d779f14a01521c1ccc8, counter=6}, lastWriteDate=Thu Jul 24 15:53:41 IST 2025, lastUpdateTimeNanos=14507733409400}
25-07-24 15:53:31.012 [cluster-ClusterId{value='688209a24a867f03d490a3a6', description='Cluster0'}-ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-67pnxoi-shard-00-01.lu8v511.mongodb.net:27017 with max election id 7fffffff0000000000000033 and max set version 22
25-07-24 15:53:31.629 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authProvider
25-07-24 15:53:31.630 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
25-07-24 15:53:31.997 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
25-07-24 15:53:32.009 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
25-07-24 15:53:32.016 [restartedMain] INFO  c.p.journalApp.JournalApplication - Started JournalApplication in 3.979 seconds (process running for 4.947)
25-07-24 15:53:41.994 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-07-24 15:53:41.994 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
25-07-24 15:53:41.995 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
25-07-24 15:53:42.402 [http-nio-8080-exec-1] ERROR c.p.journalApp.service.UserService - Error occured for vipul :
25-07-24 15:53:42.403 [http-nio-8080-exec-1] INFO  c.p.journalApp.service.UserService - hahahahaahah
25-07-24 15:53:42.404 [http-nio-8080-exec-1] WARN  c.p.journalApp.service.UserService - hahahahaahah
